grade,category,skill,question
Seventh grade,Number theory,Prime or composite,
Seventh grade,Number theory,Prime factorization,"Write the prime factorization of 16. Use exponents when appropriate and order the factors from least to greatest (for example, 2235)."
Seventh grade,Number theory,Multiplicative inverses,What is the multiplicative inverse of34 ?
Seventh grade,Number theory,Divisibility rules,
Seventh grade,Number theory,Greatest common factor,What is the greatest common factor of 9 and 18?
Seventh grade,Number theory,Least common multiple,What is the least common multiple of 4 and 8?
Seventh grade,Number theory,GCF and LCM: word problems,"Lexi cut 16 pink roses and 8 white roses from the bushes in her back yard. If she wants to make some identical flower arrangements with no flowers left over, what is the greatest number of arrangements Lexi can make?arrangements"
Seventh grade,Number theory,Sort factors of numerical expressions,Sort the expressions.111548Factors of 48Factors of 1115
Seventh grade,Number theory,Scientific notation,How do you write 890 in scientific notation?× 10
Seventh grade,Number theory,Compare numbers written in scientific notation,
Seventh grade,Number theory,Classify numbers,
Seventh grade,Number theory,Factorials,Evaluate:4! =
Seventh grade,Integers,Understanding integers,
Seventh grade,Integers,Integers on number lines,Type the missing number.–9–8–7–5–4–3–2–10
Seventh grade,Integers,Graph integers on horizontal and vertical number lines,Graph 4 and–4 on the number line.4210–1–2–45–53–3
Seventh grade,Integers,Absolute value and opposite integers,What is the opposite of 8?
Seventh grade,Integers,Quantities that combine to zero: word problems,
Seventh grade,Integers,Compare and order integers,Compare the numbers. Pick the correct sign.0?–3You can use the number line to help.–10–8–6–4–20246810><=
Seventh grade,Integers,Integer inequalities with absolute values,
Seventh grade,Operations with integers,Integer addition rules,
Seventh grade,Operations with integers,Add integers using counters,
Seventh grade,Operations with integers,Add integers using number lines,
Seventh grade,Operations with integers,Add integers,Add:–4 + 5 =
Seventh grade,Operations with integers,Add three or more integers,Add:–11 + –13 + –16 + 7 =
Seventh grade,Operations with integers,Integer subtraction rules,
Seventh grade,Operations with integers,Subtract integers using counters,
Seventh grade,Operations with integers,Subtract integers using number lines,
Seventh grade,Operations with integers,Subtract integers,Subtract:–2 − 2 =
Seventh grade,Operations with integers,Integer addition and subtraction rules,
Seventh grade,Operations with integers,Add and subtract integers using counters,
Seventh grade,Operations with integers,Add and subtract integers,Subtract:–3 − –4 =
Seventh grade,Operations with integers,Complete addition and subtraction equations with integers,Type the integer that makes the following subtraction sentence true:–8 − = –9
