grade,category,skill,question
Eighth grade,Number theory,Factors,
Eighth grade,Number theory,Divisibility rules,
Eighth grade,Number theory,Prime or composite,
Eighth grade,Number theory,Prime factorization,"Write the prime factorization of 6. Use exponents when appropriate and order the factors from least to greatest (for example, 2235)."
Eighth grade,Number theory,Greatest common factor,What is the greatest common factor of 18 and 12?
Eighth grade,Number theory,Least common multiple,What is the least common multiple of 12 and 6?
Eighth grade,Number theory,GCF and LCM: word problems,"Reid wants to create snack bags for a trip he is going on. He has 18 granola bars and 10 pieces of dried fruit. If the snack bags should be identical without any food left over, what is the greatest number of snack bags Reid can make?bags"
Eighth grade,Number theory,Sort factors of numerical expressions,Sort the expressions.1346Factors of 156Factors of 11134
Eighth grade,Number theory,Classify numbers,
Eighth grade,Integers,Integers on number lines,Type the missing number.–3–2–1012
Eighth grade,Integers,Graph integers on horizontal and vertical number lines,Graph–1 and–7 on the number line.–8–4–20–6
Eighth grade,Integers,Absolute value and opposite integers,What is the opposite of 20?
Eighth grade,Integers,Compare and order integers,
Eighth grade,Integers,Integer inequalities with absolute values,
Eighth grade,Operations with integers,Integer addition and subtraction rules,
Eighth grade,Operations with integers,Add and subtract integers using counters,
Eighth grade,Operations with integers,Add and subtract integers,Add:–5 + –5 =
Eighth grade,Operations with integers,Add and subtract three or more integers,Evaluate:–8 + –3 − –4
Eighth grade,Operations with integers,Add and subtract integers: word problems,
Eighth grade,Operations with integers,Integer multiplication and division rules,Is –36 ÷ –12 positive or negative?positivenegative
Eighth grade,Operations with integers,Multiply and divide integers,Divide:2–16
Eighth grade,Operations with integers,Evaluate numerical expressions involving integers,Evaluate the expression.5+4÷2
Eighth grade,Rational numbers,Write fractions in lowest terms,Write26in lowest terms:
Eighth grade,Rational numbers,Least common denominator,Whatistheleastcommondenominatorof712and56?
Eighth grade,Rational numbers,Round decimals and mixed numbers,What is 5 612 rounded to the nearest whole number?
Eighth grade,Rational numbers,Convert between decimals and fractions or mixed numbers,Write –110 as a decimal number.
Eighth grade,Rational numbers,Identify rational and irrational square roots,
Eighth grade,Rational numbers,Identify rational and irrational numbers,
Eighth grade,Rational numbers,Absolute value of rational numbers,
Eighth grade,Rational numbers,Compare rational numbers,
Eighth grade,Rational numbers,Put rational numbers in order,Put these numbers in order from least to greatest.640–7–2432
Eighth grade,Rational numbers,Checkpoint: Rational and irrational numbers,
Eighth grade,Operations with rational numbers,Reciprocals and multiplicative inverses,What is the multiplicative inverse of34 ?
Eighth grade,Operations with rational numbers,Add and subtract rational numbers,Add.34 + 12 = 
Eighth grade,Operations with rational numbers,Add and subtract rational numbers: word problems,"In making macaroni and cheese, Caleb used 1/2 of a cup of cheddar and 5/8 of a cup of parmesan. How much cheese did Caleb use in all?Write your answer as a fraction or as a whole or mixed number. cups"
Eighth grade,Operations with rational numbers,Apply addition and subtraction rules,
Eighth grade,Operations with rational numbers,Multiply and divide rational numbers,Multiply.–45 × 12 = 
Eighth grade,Operations with rational numbers,Multiply and divide rational numbers: word problems,"On Friday night, Cora ate a pizza for dinner and had 4/5 of the pizza left over. On Saturday, she ate 1/2 of what was left. How much of the pizza did Cora eat on Saturday?Write your answer as a fraction or as a whole or mixed number.of the pizza"
Eighth grade,Operations with rational numbers,Apply multiplication and division rules,
Eighth grade,Operations with rational numbers,"Apply addition, subtraction, multiplication, and division rules",
Eighth grade,Operations with rational numbers,Evaluate numerical expressions involving rational numbers,Evaluate the expression.35÷23×1Write your answer as a fraction or as a whole or mixed number.
Eighth grade,Exponents and roots,Understanding exponents,Write the expression using exponents. Enter a number in every blank.80 · 99 · 99 · 9980·99
Eighth grade,Exponents and roots,Evaluate exponents,Evaluate.42 =
Eighth grade,Exponents and roots,Solve equations with variable exponents,Solve for w.10w=100w=
Eighth grade,Exponents and roots,Exponents with negative bases,Evaluate.–22 =
Eighth grade,Exponents and roots,Exponents with decimal and fractional bases,Evaluate.(0.1)3 =
Eighth grade,Exponents and roots,Understanding negative exponents,
Eighth grade,Exponents and roots,Evaluate negative exponents,Evaluate. Write your answer as a fraction or whole number without exponents.4–3 =
Eighth grade,Exponents and roots,Multiplication with exponents,Simplify. Express your answer as a single term using exponents.39923996
Eighth grade,Exponents and roots,Division with exponents,Simplify. Express your answer using positive exponents.75637569
Eighth grade,Exponents and roots,Multiplication and division with exponents,Simplify. Express your answer using positive exponents.91469149
Eighth grade,Exponents and roots,Power rule,Simplify. Express your answer as the given base raised to a single exponent.(17)8
Eighth grade,Exponents and roots,Evaluate expressions using properties of exponents,Evaluate.5653 = 
Eighth grade,Exponents and roots,Identify equivalent expressions involving exponents I,
