grade,category,skill,question
First grade,Counting and number patterns,Counting review - up to 10,How many butterflies are there?Interactive Number Button Base1unselected number button2unselected number button3unselected number button4unselected number button5unselected number button6unselected number button7unselected number button8unselected number button9unselected number button10unselected number button
First grade,Counting and number patterns,Count to fill a ten frame,There are 9 dots on the frame. A full frame has 10 dots.How many more dots do you need to make 10?Interactive Number Button Base1unselected number button2unselected number button3unselected number button4unselected number button5unselected number button6unselected number button7unselected number button8unselected number button9unselected number button10unselected number button
First grade,Counting and number patterns,Counting review - up to 20,How many dots are on the frame?
First grade,Counting and number patterns,Counting tens and ones - up to 20,Count the dots:Then fill in the missing numbers:tens + ones = 2
First grade,Counting and number patterns,Count on ten frames - up to 40,How many dots are on the frame?
First grade,Counting and number patterns,Skip-counting by twos,Count the flamingos by 2s.How many flamingos are there?
First grade,Counting and number patterns,Skip-counting by fives,Count the birds by 5s.How many birds are there?
First grade,Counting and number patterns,Skip-counting by tens,Count the birthday candles by 10s.How many birthday candles are there?
First grade,Counting and number patterns,"Skip-counting by twos, fives, and tens",Count the fish by 10s.How many fish are there?
First grade,Counting and number patterns,Counting - up to 100,How many dots are there?
First grade,Counting and number patterns,Counting tens and ones - up to 99,Count the dots:Then fill in the missing numbers:tens + ones = 10
First grade,Counting and number patterns,"Counting by twos, fives, and tens","When counting by fives, what comes after 80?"
First grade,Counting and number patterns,Counting forward - up to 100,"Counting up from 11, which number comes next?"
First grade,Counting and number patterns,Counting backward - up to 100,"Counting down from 14, which number comes next?"
First grade,Counting and number patterns,Counting forward - up to 120,"Counting up from 119, which number comes next?"
First grade,Counting and number patterns,Number lines - up to 100,Type the missing number.1719202122
First grade,Counting and number patterns,Counting on the hundred chart,Fill in the missing number.1 2 3 4 5 6 7 8 1011 12 13 14 15 16 17 18 19 2021 22 23 24 25 26 27 28 29 3031 32 33 34 35 36 37 38 39 4041 42 43 44 45 46 47 48 49 5051 52 53 54 55 56 57 58 59 6061 62 63 64 65 66 67 68 69 7071 72 73 74 75 76 77 78 79 8081 82 83 84 85 86 87 88 89 9091 92 93 94 95 96 97 98 99 100
First grade,Counting and number patterns,Hundred chart,Select the number that is 1 more than 50.1 2 3 4 5 6 7 8 9 1011 12 13 14 15 16 17 18 19 2021 22 23 24 25 26 27 28 29 3031 32 33 34 35 36 37 38 39 4041 42 43 44 45 46 47 48 49 5051 52 53 54 55 56 57 58 59 6061 62 63 64 65 66 67 68 69 7071 72 73 74 75 76 77 78 79 8081 82 83 84 85 86 87 88 89 9091 92 93 94 95 96 97 98 99 100
First grade,Counting and number patterns,Even or odd,
First grade,Counting and number patterns,Identify numbers as even or odd,
First grade,Counting and number patterns,Even or odd numbers on number lines,Select the odd numbers on the number line.45678910
First grade,Counting and number patterns,Which even or odd number comes before or after?,"Which odd number comes next?1,   3,   5,   "
First grade,Counting and number patterns,Skip-counting patterns - with tables,Each vase has 2 flowers.How many flowers are in 5 vases?Number ofvasesNumber offlowers1 22 43 64 85 ? flowers
First grade,Counting and number patterns,"Sequences - count up and down by 1, 2, 5, and 10","Type the missing number in this sequence:5,    ,    15,    20,    25,    30"
First grade,Counting and number patterns,Ordinal numbers,
First grade,Counting and number patterns,Writing numbers in words - convert words to digits,
First grade,Counting and number patterns,Writing numbers in words - convert digits to words,
First grade,Counting and number patterns,"Roman numerals I, V, X",How would you write 2 as a Roman numeral?
First grade,Understand addition,Add with cubes - sums up to 10,There are 2 green cubes and 1 purple cube.Created with SnapCreated with SnapCreated with Snap.DEFAULT-GREEN .body-bg { opacity: 0.07; } .DEFAULT-GREEN .stub-bg { opacity: 0.12; } .DEFAULT-GREEN .glare-cls { fill: #fff; opacity: 0.4; } .DEFAULT-GREEN .center-circle-bg { opacity: 0.08; } Created with Snap .DEFAULT-PURPLE .body-bg { opacity: 0.07; } .DEFAULT-PURPLE .stub-bg { opacity: 0.12; } .DEFAULT-PURPLE .glare-cls { fill: #fff; opacity: 0.4; } .DEFAULT-PURPLE .center-circle-bg { opacity: 0.08; } Created with SnapAdd to find how many cubes there are in all.2+1=
First grade,Understand addition,Add with pictures - sums up to 10,Add:2 + 1 = 
First grade,Understand addition,Addition sentences up to 10: which model matches?,Which shows 3+2=5?Created with SnapCreated with Snap.DEFAULT-PURPLE .body-bg { opacity: 0.07; } .DEFAULT-PURPLE .stub-bg { opacity: 0.12; } .DEFAULT-PURPLE .glare-cls { fill: #fff; opacity: 0.4; } .DEFAULT-PURPLE .center-circle-bg { opacity: 0.08; } Created with Snap .DEFAULT-ORANGE .body-bg { opacity: 0.07; } .DEFAULT-ORANGE .stub-bg { opacity: 0.12; } .DEFAULT-ORANGE .glare-cls { fill: #fff; opacity: 0.4; } .DEFAULT-ORANGE .center-circle-bg { opacity: 0.08; } Created with SnapCreated with SnapCreated with SnapCreated with SnapCreated with SnapCreated with Snap.DEFAULT-PURPLE .body-bg { opacity: 0.07; } .DEFAULT-PURPLE .stub-bg { opacity: 0.12; } .DEFAULT-PURPLE .glare-cls { fill: #fff; opacity: 0.4; } .DEFAULT-PURPLE .center-circle-bg { opacity: 0.08; } Created with Snap .DEFAULT-ORANGE .body-bg { opacity: 0.07; } .DEFAULT-ORANGE .stub-bg { opacity: 0.12; } .DEFAULT-ORANGE .glare-cls { fill: #fff; opacity: 0.4; } .DEFAULT-ORANGE .center-circle-bg { opacity: 0.08; } Created with Snap
