grade,category,skill,question
Sixth grade,Whole numbers,Place values in whole numbers,
Sixth grade,Whole numbers,Writing numbers in words: convert words to digits,
Sixth grade,Whole numbers,Writing numbers in words: convert digits to words,
Sixth grade,Whole numbers,Spell word names for numbers up to one million,How do you write this number using words?204
Sixth grade,Whole numbers,Roman numerals,What number does this Roman numeral represent?XI
Sixth grade,Whole numbers,Add and subtract whole numbers,Add.1 5 7+ 5 4 1
Sixth grade,Whole numbers,Add and subtract whole numbers: word problems,"Recently, the value of Rhianna's college savings fund decreased by $35. If her fund was worth $881 before, how much is it worth now?$"
Sixth grade,Multiplication,Multiply whole numbers,Multiply.442×5=
Sixth grade,Multiplication,Multiply whole numbers: word problems,Darrell's town has 7 schools. Each school has 672 students. How many students are there in Darrell's town?students
Sixth grade,Multiplication,Multiply whole numbers with four or more digits,"Multiply:3,652×  1,810"
Sixth grade,Multiplication,Multiply numbers ending in zeroes,"Multiply:7,000 × 42 ="
Sixth grade,Multiplication,Multiply numbers ending in zeroes: word problems,"A picnic supply company puts 2,000 plastic cups in each shipment. How many plastic cups are needed for 2 shipments?plastic cups"
Sixth grade,Multiplication,Multiply three or more numbers,Multiply:4 × 9 × 7 =
Sixth grade,Multiplication,Multiply three or more numbers: word problems,"Students from 7 schools wrote letters to the local newspaper. Each school had 9 students participate. If every student wrote 2 letters, how many letters did they write in all?letters"
Sixth grade,Multiplication,Estimate products,"Estimate the product. Round each factor to the nearest ten, then multiply.82 × 78The product is approximately ."
Sixth grade,Division,Divisibility rules,
Sixth grade,Division,Division patterns with zeroes,"Complete the pattern:5 ÷ 5 =50 ÷ 5 =500 ÷ 5 =5,000 ÷ 5 ="
Sixth grade,Division,Divide numbers ending in zeroes: word problems,"Harrison County has $25,000 to buy new street signs. If each sign costs $5, how many new street signs will the county be able to buy?street signs"
Sixth grade,Division,Estimate quotients,
Sixth grade,Division,Divide whole numbers - 2-digit divisors,"Divide:348,058"
Sixth grade,Division,Divide whole numbers - 3-digit divisors,"Divide:305358,375"
Sixth grade,Exponents,Write multiplication expressions using exponents,Write the expression using an exponent.22
Sixth grade,Exponents,Evaluate exponents,Evaluate.42 =
Sixth grade,Exponents,Write powers of ten with exponents,"Find the missing exponent.10=100,000"
Sixth grade,Exponents,Find the missing exponent or base,"Find the missing exponent.10=1,000"
Sixth grade,Exponents,Exponents with decimal bases,Evaluate.(0.2)2 =
Sixth grade,Exponents,Exponents with fractional bases,Evaluate. Write your answer as a fraction or whole number.140   = 
Sixth grade,Number theory,Convert between standard and scientific notation,
Sixth grade,Number theory,Compare numbers written in scientific notation,
Sixth grade,Number theory,Prime or composite,
Sixth grade,Number theory,Identify factors,Which numbers are factors of 10? Select all that apply.8642
Sixth grade,Number theory,Find all the factor pairs of a number,Find all the factor pairs for 30 and complete the equations.30= 130=1530= 330= 5
Sixth grade,Number theory,Prime factorization,
Sixth grade,Number theory,Prime factorization with exponents,"Write the prime factorization of 4. Use exponents when appropriate and order the factors from least to greatest (for example, 2235).⋅"
Sixth grade,Number theory,Greatest common factor,What is the greatest common factor of 10 and 8?
Sixth grade,Number theory,Greatest common factor of three or four numbers,"What is the greatest common factor of 12, 18, and 15?"
Sixth grade,Number theory,Least common multiple,What is the least common multiple of 5 and 3?
Sixth grade,Number theory,Least common multiple of three or four numbers,"What is the least common multiple of 12, 6, and 8?"
Sixth grade,Number theory,GCF and LCM: word problems,"Layla and Tammy are studying a set of new words for Spanish class. Layla decides to break the set into lists of 10 words. Meanwhile, Tammy creates lists of 5 words. What is the smallest number of words there could be?words"
Sixth grade,Number theory,Sort factors of numerical expressions,Sort the expressions.1211Factors of 118Factors of 512
Sixth grade,Number theory,Classify numbers,
Sixth grade,Decimals,What decimal number is illustrated?,What decimal number is illustrated?
Sixth grade,Decimals,Decimal place values,
Sixth grade,Decimals,Word names for decimal numbers,
Sixth grade,Decimals,Put decimal numbers in order,Put these numbers in order from greatest to least.7.77 77.7 77.77
Sixth grade,Decimals,Inequalities with decimals,
Sixth grade,Decimals,Round decimals,What is 5.3 rounded to the nearest whole number?
Sixth grade,Decimals,Round whole numbers and decimals: find the missing digit,"Type a digit that makes this statement true.When 65,338 is rounded to the nearest hundred thousand, the result is 600,000."
Sixth grade,Decimals,Decimal number lines,Find the value of t. Write your answer as a decimal number.0t1t =
Sixth grade,Decimals,Repeating decimals,
Sixth grade,Add and subtract decimals,Add and subtract decimal numbers,
Sixth grade,Add and subtract decimals,Add and subtract decimals: word problems,Aiden and his classmates placed colored blocks on a scale during a science lab. The green block weighed 0.8 pounds and the orange block weighed 0.6 pounds. How much more did the green block weigh than the orange block?pounds
Sixth grade,Add and subtract decimals,Estimate sums and differences of decimals,Estimate the difference by rounding each number to the nearest whole number and then subtracting.5.8 − 3.7The difference is approximately .
