grade,category,skill,question
Third grade,Numbers and comparing,Even or odd,
Third grade,Numbers and comparing,Even or odd: arithmetic rules,
Third grade,Numbers and comparing,Skip-counting,Count the eggs by 2s.How many eggs are there?
Third grade,Numbers and comparing,Skip-counting puzzles,
Third grade,Numbers and comparing,Number sequences,
Third grade,Numbers and comparing,Write numbers in words,
Third grade,Numbers and comparing,"Roman numerals I, V, X, L, C, D, M",How would you write 6 as a Roman numeral?
Third grade,Numbers and comparing,Compare numbers,
Third grade,Numbers and comparing,Which number is greatest/least?,
Third grade,Numbers and comparing,Order numbers,"If you arrange these numbers from greatest to least, which number will come second?5   82   50   100   67"
Third grade,Numbers and comparing,Comparing: with addition and subtraction,
Third grade,Numbers and comparing,Multi-step inequalities,
Third grade,Place values,Place value models up to thousands,What number is shown?
Third grade,Place values,Place value names up to thousands,
Third grade,Place values,Place value names up to hundred thousands,
Third grade,Place values,Value of a digit,
Third grade,Place values,Convert to/from a number,Type the missing number.3 hundreds + 2 tens + 2 ones =  
Third grade,Place values,Convert between place values,Solve:hundreds = 90 tens
Third grade,Place values,Convert from expanded form,
Third grade,Place values,Convert between standard and expanded form,"What is 6,000 + 800 + 70 + 3 in standard form?"
Third grade,Place values,Place value word problems,What number has 9 tens and 8 fewer ones than tens?
Third grade,Addition,Add two numbers up to three digits,Add.9 7 0+ 8
Third grade,Addition,Addition input/output tables: up to three digits,Complete the table.Rule: add 100In Out4886421389 489
Third grade,Addition,Add two numbers up to three digits: word problems,A scientist believes that there are 236 small parakeets and 2 large parakeets in a particular part of the rainforest. What is the total parakeet population there?parakeets
Third grade,Addition,Complete the addition sentence: up to three digits,Fill in the missing number.+ 7 6 47 6 5
Third grade,Addition,Balance addition equations: up to three digits,Which number makes the equation true?232 + 1 = 230 +
Third grade,Addition,Add three numbers up to three digits each,Add.8 38+ 6 9 0
Third grade,Addition,Add three numbers up to three digits each: word problems,"Last week at work, Kayla called people and asked them to try a new product. Kayla called 620 people on Monday and 88 people on Tuesday. Then she called 7 people on Wednesday. How many people did Kayla call in all? people"
Third grade,Addition,Addition up to three digits: fill in the missing digits,Type the missing digits:  1+2  77
Third grade,Addition,Add two numbers up to four digits,"Add.8 4 2+ 2 , 8 1 4,"
Third grade,Addition,Add two numbers up to four digits: word problems,"To fill an order, the factory dyed 7,239 meters of silk pink and 9 meters teal. How many meters of silk did it dye for that order?meters"
Third grade,Addition,Complete the addition sentence: up to four digits,"Fill in the missing number.+ 9 , 8 1 19 , 8 1 6"
Third grade,Addition,Add three numbers up to four digits each,"Add.37 , 5 1 4+ 6 9,"
Third grade,Addition,Add three numbers up to four digits each: word problems,"A women's clothing store placed an order for winter sweaters. They ordered 4 small sweaters, 8,324 medium sweaters, and 55 large sweaters. How many winter sweaters did the store order in all? sweaters"
Third grade,Addition,Addition up to four digits: fill in the missing digits,"Type the missing digits:  1,555+,329  9,84"
Third grade,Addition,Addition patterns over increasing place values,Complete the pattern:3 + = 930 + = 90300 + = 900
Third grade,Addition,Add two numbers up to six digits,"Add.1 , 1 9 5+ 1 8 , 7 0 2,"
Third grade,Subtraction,Subtract numbers up to three digits,Subtract.8 1 6– 2 9
Third grade,Subtraction,Subtraction input/output tables: up to three digits,Complete the table.Rule: subtract 100In Out748681 581571418
Third grade,Subtraction,Subtract numbers up to three digits: word problems,"There were a total of 754 tadpoles in a pond. One afternoon, Carmen caught 20 tadpoles from the pond and took them home. How many tadpoles were left in the pond?tadpoles"
Third grade,Subtraction,Complete the subtraction sentence: up to three digits,Fill in the missing number.9 8 6–3 4 6
Third grade,Subtraction,Balance subtraction equations: up to three digits,Which number makes the equation true?− 6 = 631 − 1
Third grade,Subtraction,Subtraction patterns over increasing place values,Complete the pattern:9 − = 190 − = 10900 − = 100
Third grade,Subtraction,Subtract numbers with four or more digits,"Subtract.7 , 5 8 9– 2 1 2,"
Third grade,Subtraction,Subtraction: fill in the missing digits,"Type the missing digit:  7,601−6,23  1,371"
Third grade,Understand multiplication,Count equal groups,Fill in the blanks to describe the model.There are groups of dots.There are dots in each group.
Third grade,Understand multiplication,Identify multiplication expressions for equal groups,
Third grade,Understand multiplication,Write multiplication sentences for equal groups,Complete the multiplication sentence that describes the model.×3=9
Third grade,Understand multiplication,Relate addition and multiplication for equal groups,Here are three ways to describe the model. Fill in the blanks.There are groups of 3 dots.3+3+3=9×3=9
Third grade,Understand multiplication,Identify multiplication expressions for arrays,
Third grade,Understand multiplication,Write multiplication sentences for arrays,Complete the multiplication sentence so that it describes the array.×2=4
Third grade,Understand multiplication,Make arrays to model multiplication,Make a rectangular array of squares to model 2×3=6.
Third grade,Understand multiplication,Write multiplication sentences for number lines,Complete the multiplication sentence that describes the model.0369121518212427303×=9
Third grade,Multiplication skill builders,Multiply by 0,Multiply:2 × 0 =
Third grade,Multiplication skill builders,Multiply by 1,Multiply:1×  8
Third grade,Multiplication skill builders,Multiply by 2,Multiply:6 × 2 =
Third grade,Multiplication skill builders,Multiply by 3,Multiply:7 × 3 =
Third grade,Multiplication skill builders,Multiply by 4,Multiply:6 × 4 =
Third grade,Multiplication skill builders,Multiply by 5,Multiply:1 × 5 =
Third grade,Multiplication skill builders,Multiply by 6,Multiply:6 × 0 =
Third grade,Multiplication skill builders,Multiply by 7,Multiply:7 × 10 =
Third grade,Multiplication skill builders,Multiply by 8,Multiply:8 × 8 =
Third grade,Multiplication skill builders,Multiply by 9,Multiply:0×  9
Third grade,Multiplication skill builders,Multiply by 10,Multiply:9×  10
Third grade,Multiplication skill builders,Multiply by 11,Multiply:11 × 5 =
Third grade,Multiplication skill builders,Multiply by 12,Multiply:12 × 7 =
Third grade,Multiplication fluency,"Multiplication tables for 2, 3, 4, 5, and 10",Multiply:7×  4
Third grade,Multiplication fluency,"Multiplication facts for 2, 3, 4, 5, and 10: true or false?",
Third grade,Multiplication fluency,"Multiplication facts for 2, 3, 4, 5, and 10: sorting","Multiply to find the products. Is each product less than 48, equal to 48, or greater than 48?Place each expression into the correct box.10×42×410×5less than 48equal to 48greater than 48"
Third grade,Multiplication fluency,"Multiplication facts for 2, 3, 4, 5, and 10: find the missing factor",Fill in the missing number.groups of 2 equal 8.
Third grade,Multiplication fluency,"Multiplication tables for 6, 7, 8, and 9",Multiply:9×  8
Third grade,Multiplication fluency,"Multiplication facts for 6, 7, 8, and 9: true or false?",
Third grade,Multiplication fluency,"Multiplication facts for 6, 7, 8, and 9: sorting","Multiply to find the products. Is each product less than 25, equal to 25, or greater than 25?Place each expression into the correct box.7×39×36×4less than 25equal to 25greater than 25"
Third grade,Multiplication fluency,"Multiplication facts for 6, 7, 8, and 9: find the missing factor",Fill in the missing number.groups of 8 equal 32.
Third grade,Multiplication fluency,Multiplication tables up to 10,Multiply:6×  2
Third grade,Multiplication fluency,Multiplication facts up to 10: true or false?,
Third grade,Multiplication fluency,Multiplication facts up to 10: sorting,"Multiply to find the products. Is each product less than 20, equal to 20, or greater than 20?Place each expression into the correct box.10×41×11×5less than 20equal to 20greater than 20"
Third grade,Multiplication fluency,Multiplication facts up to 10: find the missing factor,Fill in the missing number.10 groups of equal 30.
Third grade,Multiplication fluency,Multiplication facts up to 10: select the missing factors,Choose two numbers from the box to complete the multiplication sentence.3479× = 36
Third grade,Multiplication fluency,Multiplication sentences up to 10: true or false?,
Third grade,Multiplication fluency,Multiplication tables up to 12,Multiply:2 × 1 =
Third grade,Multiplication fluency,Multiplication facts up to 12: true or false?,
Third grade,Multiplication fluency,Multiplication facts up to 12: find the missing factor,Fill in the missing number.groups of 2 equal 10.
Third grade,Multiplication fluency,Multiplication facts up to 12: select the missing factors,Choose two numbers from the box to complete the multiplication sentence.3679× = 21
