grade,category,skill,question
Fifth grade,Place values and number sense,Convert between standard and expanded form,"What is 5,000,000 + 400,000 + 60,000 + 3,000 + 500 + 9 in standard form?"
Fifth grade,Place values and number sense,Place value,Type the missing numbers.747 = hundreds + tens + ones
Fifth grade,Place values and number sense,Compare numbers up to billions,
Fifth grade,Place values and number sense,Writing numbers in words: convert words to digits,
Fifth grade,Place values and number sense,Writing numbers in words: convert digits to words,
Fifth grade,Place values and number sense,Spell word names for numbers up to one million,How do you write this number using words?660
Fifth grade,Place values and number sense,Roman numerals,What number does this Roman numeral represent?XII
Fifth grade,Place values and number sense,Rounding,"What is 6,063 rounded to the nearest thousand?"
Fifth grade,Place values and number sense,Even or odd: arithmetic rules,
Fifth grade,Place values and number sense,Scientific notation,How do you write 5.7 × 102 in standard form?
Fifth grade,Addition and subtraction,Add and subtract whole numbers up to billions,"Subtract.1 , 7 9 8– 3 3 1,"
Fifth grade,Addition and subtraction,Add and subtract whole numbers: word problems,"Recently, the value of Polly's college savings fund decreased by $6,669. If her fund was worth $7,412 before, how much is it worth now?$"
Fifth grade,Addition and subtraction,Complete addition and subtraction sentences,"Fill in the missing number.+ 4 , 7 0 94 , 7 1 0"
Fifth grade,Addition and subtraction,Fill in the missing digits,Type the missing digit:  673+280  93
Fifth grade,Addition and subtraction,Choose numbers with a particular sum or difference,Choose two numbers from the box to complete the subtraction sentence.− = 21
Fifth grade,Addition and subtraction,Properties of addition,
Fifth grade,Addition and subtraction,Add using properties,Use properties to find the sum.25+72+85= 72++85= 72++85= 72+=
Fifth grade,Addition and subtraction,Estimate sums and differences of whole numbers,"Estimate the sum by rounding each number to the nearest thousand and then adding.8,414 + 7,757The sum is approximately ."
Fifth grade,Addition and subtraction,Estimate sums and differences: word problems,
Fifth grade,Multiplication,Multiply by 1-digit numbers,"Multiply.8 0 0× 5,"
Fifth grade,Multiplication,Multiply by 1-digit numbers: word problems,There are 2 apartments in an apartment building. The rent for each apartment is $372 per month. How much rent does the owner of the building receive each month?$
Fifth grade,Multiplication,Multiplication patterns over increasing place values,"Complete the pattern:8 × 3 =8 × 30 =8 × 300 =8 × 3,000 =8 × 30,000 =8 × 300,000 =8 × 3,000,000 ="
Fifth grade,Multiplication,Multiply numbers ending in zeroes,Multiply:900 × 9 =
Fifth grade,Multiplication,Multiply numbers ending in zeroes: word problems,A movie theater ordered 300 boxes of candy. Each box contained 90 pieces of candy. How many pieces of candy is that in all?pieces
Fifth grade,Multiplication,Properties of multiplication,
Fifth grade,Multiplication,Multiply using properties,Use properties to find the product.25×81×4= 25××81= ×81=
Fifth grade,Multiplication,Choose numbers with a particular product,Choose two numbers from the box to complete the multiplication sentence.× = 24
Fifth grade,Multiplication,Estimate products,"Estimate the product. Round each factor to the nearest ten, then multiply.21 × 52The product is approximately ."
Fifth grade,Multiplication,Estimate products: word problems,
Fifth grade,Multiplication,Box multiplication,"Use the box method to find 80×62.Calculate the sums on the right. Add these sums to find 80×62.80×62 = ?,???800+60+4,8000,21600+,"
Fifth grade,Multiplication,Lattice multiplication,"Use the lattice method to find 72×46. Calculate the sum of each diagonal. Your answers for the sums will fill in the answer for the product.72×46=?,???728280424216"
Fifth grade,Multiplication,Multiply by 2-digit numbers: complete the missing steps,"Fill in the missing number:5 7× 8 42 2 8+,4 , 7 8 8"
Fifth grade,Multiplication,Multiply 2-digit numbers by 2-digit numbers,Multiply:54×  11
Fifth grade,Multiplication,Multiply 2-digit numbers by 3-digit numbers,Multiply:611×  83
Fifth grade,Multiplication,Multiply 2-digit numbers by larger numbers,"Multiply:8,093×  53"
Fifth grade,Multiplication,Multiply by 2-digit numbers: word problems,A cheesemaker sold 10 big wheels of cheese for $61 each. How much money did the cheesemaker receive in total?$
Fifth grade,Multiplication,Multiply three or more numbers up to 2 digits each,Multiply:4 × 7 × 1 =
Fifth grade,Multiplication,Multiply by 3-digit numbers,Multiply:282×  622
Fifth grade,Multiplication,Multiply three numbers up to 3 digits each,Multiply:27 × 54 × 58 =
Fifth grade,Multiplication,Multiply three or more numbers: word problems,"The bridge toll costs $4. While driving his delivery truck, Kenny pays the bridge toll 6 times each day. How much will Kenny spend on bridge tolls in 5 days?$"
Fifth grade,Multiplication,Inequalities with multiplication,
Fifth grade,Multiplication,Multiplication input/output tables,Complete the table.Rule: multiply by 2In Out0345 10
Fifth grade,Multiplication,Multiplication input/output tables: find the rule,
Fifth grade,Division,Division facts to 12,Divide:11
Fifth grade,Division,Division facts to 12: word problems,There are 33 fish at the pet store. The fish live in 11 tanks and each tank has the same number of fish. How many fish are in each tank?fish
Fifth grade,Division,Divide multi-digit numbers by 1-digit numbers,Divide:448
Fifth grade,Division,Divide multi-digit numbers by 1-digit numbers: word problems,A town needs to buy 52 hamburger buns for their big summer barbecue. The hamburger buns come in packages of 4. How many packages should the town buy?packages
Fifth grade,Division,Divide by 1-digit numbers: interpret remainders,There are 186 people in line to ride the bumper cars. 8 people can go in each round. How many people will ride in the last round?people
Fifth grade,Division,Division patterns over increasing place values,"Complete the pattern:÷ 8 = 9÷ 80,000 = 9÷ 8,000,000 = 9"
Fifth grade,Division,Divide numbers ending in zeroes,"Divide:8640,000"
Fifth grade,Division,Divide numbers ending in zeroes: word problems,"Dyer Accounting wants to buy 3,000 chocolate truffles for a party. If there are 10 truffles in each box, how many boxes of truffles should the company buy?boxes"
Fifth grade,Division,Estimate quotients,
Fifth grade,Division,Estimate quotients: word problems,
Fifth grade,Division,Estimate quotients: 2-digit divisors,
Fifth grade,Division,Divide by 2-digit numbers using models,
Fifth grade,Division,Divide by 2-digit numbers using partial quotients,Use the partial quotients method to find 868÷31. Fill in the missing numbers.R31868310–×31310–×31248–×31
Fifth grade,Division,Divide 2-digit and 3-digit numbers by 2-digit numbers,Divide:   R 1248
Fifth grade,Division,Divide 2-digit and 3-digit numbers by 2-digit numbers: word problems,A paper factory needs to ship an order for 308 sheets of yellow paper. The factory will put 77 sheets in each box. How many boxes will the paper factory need to use?boxes
Fifth grade,Division,Divide 4-digit numbers by 2-digit numbers,"Divide:101,380"
Fifth grade,Division,Divide 4-digit numbers by 2-digit numbers: word problems,"A hockey team wants to sell $7,936 worth of tickets. If each ticket costs $31, how many tickets will the team have to sell to meet its goal?tickets"
Fifth grade,Division,Adjust quotients,
Fifth grade,Division,Multi-step word problems: multiplicative comparison,"After her birthday sleepover, Roxanne's dad made mini pancakes for breakfast. All of the pancakes were either blueberry or chocolate chip. He made 108 mini pancakes in all. There were 3 times as many blueberry pancakes as chocolate chip pancakes.How many blueberry pancakes did Roxanne's dad make?blueberry pancakes"
Fifth grade,Division,Relate multiplication and division,"If 10 × 1 = 10, then...10 ÷ 1 ="
Fifth grade,Division,Complete the division sentence: 2-digit divisors,Find the missing number.÷22=23
Fifth grade,Division,Choose numbers with a particular quotient,Choose two numbers from the box to complete the division sentence.3183064÷ = 10
Fifth grade,Exponents,Understanding powers of ten,
Fifth grade,Exponents,Evaluate powers of ten,Evaluate.104 =
Fifth grade,Exponents,Write powers of ten with exponents,"Find the missing exponent.10=10,000"
Fifth grade,Exponents,Multiply a whole number by a power of ten: with exponents,Find the value.9×103=
Fifth grade,Exponents,Multiply a decimal by a power of ten: with exponents,Find the value.219.8×102=
Fifth grade,Exponents,Divide by a power of ten: with exponents,Find the value.965.5÷103=
Fifth grade,Exponents,Multiply and divide by a power of ten: with exponents,Find the value.5.52×103=
Fifth grade,Exponents,Understanding exponents,
Fifth grade,Exponents,Evaluate exponents,Evaluate.82 =
Fifth grade,Exponents,Find the missing exponent or base,"Find the missing exponent.10=1,000"
Fifth grade,Number theory,Identify factors,
Fifth grade,Number theory,Prime and composite numbers,
Fifth grade,Number theory,Prime factorization,
Fifth grade,Number theory,Prime factorization with exponents,
Fifth grade,Number theory,Divisibility rules,
Fifth grade,Number theory,Divisibility rules: word problems,
Fifth grade,Number theory,Find all the factor pairs of a number,Find all the factor pairs for 21 and complete the equations.21= ×2121= 3×
Fifth grade,Number theory,Greatest common factor,What is the greatest common factor of 6 and 8?
Fifth grade,Number theory,Greatest common factor of three numbers,"What is the greatest common factor of 18, 4, and 14?"
Fifth grade,Number theory,Least common multiple,What is the least common multiple of 3 and 2?
Fifth grade,Number theory,Least common multiple of three or four numbers,"What is the least common multiple of 8, 12, and 3?"
Fifth grade,Decimals,What decimal number is illustrated?,What decimal number is illustrated?
Fifth grade,Decimals,Model decimals and fractions,Show110by shading the model.Click and drag to shade.
Fifth grade,Decimals,Understanding decimals expressed in words,
Fifth grade,Decimals,Place values in decimal numbers,
Fifth grade,Decimals,Relationship between decimal place values,Complete the sentence.is 10 times as much as 0.8.
Fifth grade,Decimals,Convert decimals between standard and expanded form,
Fifth grade,Decimals,Equivalent decimals,
Fifth grade,Decimals,Round decimals,What is 7.61 rounded to the nearest whole number?
Fifth grade,Decimals,Decimal number lines,Find the value of b. Write your answer as a decimal number.0b1b =
Fifth grade,Decimals,Compare decimals using grids,
Fifth grade,Decimals,Compare decimals on number lines,
Fifth grade,Decimals,Compare decimal numbers,
Fifth grade,Decimals,Put decimal numbers in order,Put these numbers in order from greatest to least.8.5 8.4 9.7 8.9
Fifth grade,Decimals,"Compare, order, and round decimals: word problems",
Fifth grade,Decimals,Convert fractions to decimals,Write 310 as a decimal number.
Fifth grade,Decimals,Convert mixed numbers to decimals,"Write 5 11,000 as a decimal number."
Fifth grade,Decimals,Convert decimals to fractions,Write 0.1 as a fraction.
Fifth grade,Decimals,Convert decimals to mixed numbers,Write 6.71 as a mixed number.
Fifth grade,Decimals,Convert decimals between standard and expanded form using fractions,
Fifth grade,Decimals,Compare decimals and fractions on number lines,
Fifth grade,Decimals,Compare decimals and fractions,
Fifth grade,Decimals,Number sequences involving decimals,"Fill in the missing numbers to complete the pattern:,1.2,,1.4,1.5,1.6"
Fifth grade,Decimals,Repeating decimals,
Fifth grade,Decimals,Put a mix of decimals and fractions in order,Put these numbers in order from least to greatest.120.9 0.8
Fifth grade,Decimals,"Put a mix of decimals, fractions, and mixed numbers in order",Put these numbers in order from least to greatest.59106125.8
Fifth grade,Add and subtract decimals,Add decimal numbers,Add.0 . 1 2+ 0 . 5 8.
Fifth grade,Add and subtract decimals,Subtract decimal numbers,Subtract.0 . 8– 0 . 4.
Fifth grade,Add and subtract decimals,Add and subtract decimal numbers,Subtract.0 . 6 9– 0 . 5 1.
Fifth grade,Add and subtract decimals,Add and subtract decimals: word problems,"It rained 0.96 inches on Monday. On Tuesday, it rained 0.51 inches less than on Monday. How much did it rain on Tuesday?inches"
Fifth grade,Add and subtract decimals,Choose decimals with a particular sum or difference,Choose two numbers from the box to complete the addition sentence.+ = 9.0
Fifth grade,Add and subtract decimals,Complete the decimal addition or subtraction sentence,Fill in the missing number:0 . 8+.1 . 7
Fifth grade,Add and subtract decimals,Inequalities with decimal addition and subtraction,
Fifth grade,Add and subtract decimals,Estimate sums and differences of decimals using rounding,Estimate the sum by rounding each number to the nearest whole number and then adding.7.6 + 9.7The sum is approximately .
Fifth grade,Add and subtract decimals,Estimate sums and differences of decimals using benchmarks,
Fifth grade,Multiply decimals,Estimate products of whole numbers and decimals,"Estimate the product. Round each number to its greatest place value, then multiply.80 × 8.4The product is approximately ."
Fifth grade,Multiply decimals,Estimate products of decimals,"Estimate the product. Round each factor to the nearest whole number, and then multiply.2.57 × 6.80The product is approximately ."
Fifth grade,Multiply decimals,Multiply a decimal by a power of ten,Multiply:10 × 0.78 =
Fifth grade,Multiply decimals,Multiply by a power of ten with decimals: find the missing number,Find the missing number. Write your answer as a whole number or decimal.×10=370
Fifth grade,Multiply decimals,Multiply a decimal by a one-digit whole number using blocks,This model shows 2×0.31.Multiply. You can use the model to help.2×0.31=
Fifth grade,Multiply decimals,Multiply a decimal by a one-digit whole number using the distributive property,Use the distributive property to find the product.7×8.1= 7×8+=7×+7×= +=
Fifth grade,Multiply decimals,Multiply a decimal by a one-digit whole number,Multiply:3 . 5× 7.
Fifth grade,Multiply decimals,Multiply a decimal by a two-digit whole number using area models,"Use the model to find 28×7.2.First, fill in the area of each rectangle.70.2208Then, find the total area.28×7.2="
Fifth grade,Multiply decimals,Multiply a decimal by a multi-digit whole number,Multiply:2.6× 68
Fifth grade,Multiply decimals,Multiply decimals and whole numbers: word problems,Lena walks 0.2 miles on each trip to the park. How far will Lena walk if she makes 4 trips to the park?miles
Fifth grade,Multiply decimals,"Multiply three or more numbers, one of which is a decimal",Multiply:5 × 8 × 4.54 =
Fifth grade,Multiply decimals,Complete the decimal multiplication sentence using grids,Use the grid to fill in the missing number.0.4 × = 0.36
Fifth grade,Multiply decimals,Multiply decimals using grids,The grid shows 0.3×0.4.Multiply.0.3×0.4=
Fifth grade,Multiply decimals,Multiply two decimals: where does the decimal point go?,
Fifth grade,Multiply decimals,Multiply two decimals: products up to hundredths,Multiply:0.8×  0.6
Fifth grade,Multiply decimals,Multiply two decimals: products up to thousandths,Multiply:0.1×  0.99
Fifth grade,Multiply decimals,Inequalities with decimal multiplication: products up to hundredths,
Fifth grade,Multiply decimals,Inequalities with decimal multiplication: products up to thousandths,
Fifth grade,Divide decimals,Divide by powers of ten,"Divide:45,427 ÷ 100 ="
Fifth grade,Divide decimals,Decimal division patterns over increasing place values,"Complete the pattern:208.17 ÷ 100 =2,081.7 ÷ 100 =20,817 ÷ 100 =208,170 ÷ 100 ="
Fifth grade,Divide decimals,Divide by a power of ten with decimals: find the missing number,Find the missing number. Write your answer as a whole number or decimal.÷100=0.45
Fifth grade,Divide decimals,Divide decimals using blocks: complete the equation,This model represents a division equation.Complete the equation to match the model.2.86÷2=
Fifth grade,Divide decimals,Divide decimals using area models: complete the equation,Look at the area model.9 0.14360.4Complete the division equation to match the area model.÷4=9.1
Fifth grade,Divide decimals,Division with decimal quotients,"Divide. Give the exact answer, written as a decimal.5156"
Fifth grade,Divide decimals,Division with decimal quotients and rounding,Divide. Round your answer to the nearest tenth.7804
Fifth grade,Divide decimals,Division with decimal quotients: word problems,"Over the past few years, Laura has made 8 trips to visit the amusement park. She drove 790 kilometers in all. How far did Laura drive on each trip?Write your answer as a decimal.kilometers"
Fifth grade,Divide decimals,Estimate decimal quotients,
Fifth grade,Divide decimals,Divide by decimals without adding zeroes,Divide.10.5÷0.7=
Fifth grade,Divide decimals,Divide by decimals,"Divide. Give the exact answer, written as a decimal.1 ÷ 0.8 ="
Fifth grade,Fractions and mixed numbers,Fractions review,What fraction of the shape is pink?Use a slash ( / ) to separate the numerator and denominator.
Fifth grade,Fractions and mixed numbers,Fractions of a whole: word problems,
Fifth grade,Fractions and mixed numbers,Fractions of a group: word problems,Grace bought 11 bagels for brunch last Sunday. 5 of the bagels had raisins. What fraction of the bagels had raisins?Use a slash ( / ) to separate the numerator and denominator.
Fifth grade,Fractions and mixed numbers,Equivalent fractions,
Fifth grade,Fractions and mixed numbers,Write fractions in lowest terms,Write24in lowest terms:
Fifth grade,Fractions and mixed numbers,Convert between improper fractions and mixed numbers,Write 98 as a mixed number.
Fifth grade,Fractions and mixed numbers,Least common denominator,Whatistheleastcommondenominatorof710and27?
Fifth grade,Fractions and mixed numbers,Graph and compare fractions on number lines,
Fifth grade,Fractions and mixed numbers,Compare fractions using benchmarks,"Compare each fraction to the benchmark.22121412Now, use this information to compare the two fractions.2214"
Fifth grade,Fractions and mixed numbers,Compare fractions and mixed numbers,
Fifth grade,Fractions and mixed numbers,Put fractions in order,Put these fractions in order from greatest to least.892959
Fifth grade,Fractions and mixed numbers,Addition and subtraction patterns with fractions,"What is the next fraction in this sequence?815 ,  915 ,  1015 ,  1115 ,  ..."
Fifth grade,Fractions and mixed numbers,Multiplication patterns with fractions,"What is the next fraction in this sequence?195 ,  295 ,  495 ,  895 ,  ..."
Fifth grade,Fractions and mixed numbers,Round mixed numbers,What is 89 47 rounded to the nearest whole number?
Fifth grade,Fractions and mixed numbers,Reciprocals,What is the reciprocal of23 ?
Fifth grade,Fractions and mixed numbers,Relate division and fractions,"Divide. Write your answer as a proper fraction, a whole number, or a mixed number.5÷9="
Fifth grade,Fractions and mixed numbers,Understand fractions as division: word problems,"Zachary's art club ordered a giant sub sandwich for a party. It was 6 feet long! When the sandwich arrived, Zachary cut it into 16 equal pieces.How long was each piece?Write your answer as a proper fraction or mixed number.feet"
Fifth grade,Add and subtract fractions,Decompose fractions multiple ways,Decompose68into a sum of fractions two different ways.Note: Answers using the same fractions in a different order are not different answers.68=+68=+1828384858687888
Fifth grade,Add and subtract fractions,Add and subtract fractions with like denominators using number lines,
Fifth grade,Add and subtract fractions,Add and subtract fractions with like denominators,Add.311  +  211  =  
Fifth grade,Add and subtract fractions,Add and subtract fractions with like denominators: word problems,"At the Greene Ski Resort, it snowed 5/6 of a foot yesterday and 1/6 of a foot today. How much more did it snow yesterday than today?Write your answer as a fraction or as a whole or mixed number. feet"
Fifth grade,Add and subtract fractions,Add and subtract mixed numbers with like denominators,Subtract. Write your answer as a fraction or as a whole or mixed number.14 23 − 8 13 = 
Fifth grade,Add and subtract fractions,Add fractions with unlike denominators using models,Add.12+14=Use the model to help you.12+14
Fifth grade,Add and subtract fractions,Add up to 4 fractions with denominators of 10 and 100,
Fifth grade,Add and subtract fractions,Add fractions with unlike denominators,Add.512  +  16  =  
Fifth grade,Add and subtract fractions,Subtract fractions with unlike denominators using models,Subtract.48–14=Use the model to help you.18181818–14
Fifth grade,Add and subtract fractions,Estimate sums and differences of fractions using benchmarks,
Fifth grade,Add and subtract fractions,Subtract fractions with unlike denominators,Subtract.12  –  18  =  
