grade,category,skill,question
Fourth grade,Number sense,Place value models,What number is shown?
Fourth grade,Number sense,Convert between standard and expanded form,"What is 7,000 + 300 + 60 + 1 in standard form?"
Fourth grade,Number sense,Value of a digit,
Fourth grade,Number sense,Relationship between place values,Complete the sentence.is 10 times as much as 10.
Fourth grade,Number sense,Convert between place values,Solve:thousands = 60 hundreds
Fourth grade,Number sense,Identify place value names,
Fourth grade,Number sense,Place value review,Type the missing number.5 ten thousands7 thousands1 hundred5 tens=  
Fourth grade,Number sense,"Writing numbers up to 1,000 in words: convert words to digits",
Fourth grade,Number sense,"Writing numbers up to 1,000 in words: convert digits to words",
Fourth grade,Number sense,"Writing numbers up to 100,000 in words: convert words to digits",
Fourth grade,Number sense,"Writing numbers up to 100,000 in words: convert digits to words",
Fourth grade,Number sense,Writing numbers up to one million in words: convert words to digits,
Fourth grade,Number sense,Writing numbers up to one million in words: convert digits to words,
Fourth grade,Number sense,Writing numbers up to one billion in words: convert words to digits,
Fourth grade,Number sense,Writing numbers up to one billion in words: convert digits to words,
Fourth grade,Number sense,Spell word names for numbers up to one million,How do you write this number using words?501
Fourth grade,Number sense,Roman numerals,What number does this Roman numeral represent?XX
Fourth grade,Number sense,Prime and composite: up to 20,
Fourth grade,Number sense,Prime and composite: up to 100,
Fourth grade,Number sense,Rounding: up to hundred thousands place,What is 76 rounded to the nearest ten?
Fourth grade,Number sense,Rounding: up to millions place,"What is 1,192 rounded to the nearest thousand?"
Fourth grade,Number sense,Rounding input/output tables,"Complete the table.Rule: Round to the nearest hundredIn Out8343,2903,6258,795 8,800"
Fourth grade,Number sense,Rounding puzzles,"A number has the digits 3 and 9. To the nearest ten, the number rounds to 90. What is the number?"
Fourth grade,Number sense,Even or odd: arithmetic rules,
Fourth grade,Number sense,Compare numbers up to one hundred thousand,
Fourth grade,Number sense,Compare numbers up to one million,
Fourth grade,Number sense,Compare numbers up to one billion,
Fourth grade,Addition,Add two numbers up to five digits,"Add.5 , 1 0 9+ 7 , 7 8 4,"
Fourth grade,Addition,Add two numbers up to five digits: word problems,"At a busy ant colony, there are 3,882 ants inside the ant hill and 4,308 exploring outside. How many ants total are there?ants"
Fourth grade,Addition,Add two numbers up to seven digits,"Add.4 4 , 9 3 0+ 4 3 , 3 5 7,"
Fourth grade,Addition,Add two numbers up to seven digits: word problems,"Since opening, Big Ben's Burgers has served 83,117 regular fries and 10,855 curly fries to its customers. How many fries is that?fries"
Fourth grade,Addition,Addition: fill in the missing digits,Type the missing digit:  522+14  716
Fourth grade,Addition,Properties of addition,
